ICS209,citation_link,date,time,unique_fact
38,https://www.cnn.com/2019/09/03/us/hurricane-dorian-tuesday-wxc/index.html,9/2/2019,11:38:00 PM,"The Category 2 storm, with winds of 110 mph, was lashing central Florida’s east coast Tuesday night, the National Hurricane Center said."
32,https://www.cnn.com/2019/09/03/us/hurricane-dorian-tuesday-wxc/index.html,9/2/2019,11:38:00 PM,"The storm’s death toll, which officials fear will rise sharply, stands at seven people, according to Prime Minister Hubert Minnis."
30,https://www.cnn.com/2019/09/03/us/hurricane-dorian-tuesday-wxc/index.html,9/2/2019,11:38:00 PM,"The Prime Minister told reporters after returning from an aerial tour of Great Abaco that he estimated there was damage to 60% of the homes there. According to a 2010 census, 17,224 people lived on the Abacos and there were about 5,200 occupied houses, apartments and townhomes with an additional 2,916 vacant units."
31,https://www.cnn.com/2019/09/03/us/hurricane-dorian-tuesday-wxc/index.html,9/2/2019,11:38:00 PM,"Fortunately, New Providence Island and the capital of Nassau, which generate much of the Bahamas tourist revenue, had not been touched, the Prime Minister said."
28,https://fb.watch/i-c6EKSd5K/,9/3/2019,10:37:00 AM,"Freeport, Gran Bahama. Dorian moved on top of GB and slowed down to a near crawl. Sustained winds of over 160 MPH but yet the storm is only moving at 1MPH"
34,https://twitter.com/RedCross/status/1168956042564251648?s=20,9/3/2019,2:36:00 PM,"Overnight, over 12.2K people stayed in #RedCross evacuation shelters across Florida, Georgia & South Carolina as #HurricaneDorian nears"
34,https://twitter.com/bartoncollege/status/1169024581526573061?s=20,9/3/2019,7:09:00 PM," Barton College will begin closing in preparation for Hurricane Dorian beginning Wednesday afternoon, Sept. 4"
35,https://twitter.com/ABCWorldNews/status/1169024959223652352?s=20,9/3/2019,7:10:00 PM,"Hurricane Dorian is on the move, growing in size as it tracks north just off the east coast of Florida, already hammering Florida with tropical storm-force winds and kicking up massive waves"
34,https://twitter.com/6abc/status/1169025631939694592?s=20,9/3/2019,7:13:00 PM,Over 100 pets flown into Delaware to escape Hurricane #Dorian
34,https://twitter.com/USACEHQ/status/1169026490295562241?s=20,9/3/2019,7:16:00 PM,"Maj. Gen. Scott Spellmon, USACE Deputy Commanding General for Civil and Emergency Operations, discusses preparedness efforts on Fox and Friends Sept. 3, 2019, as Hurricane #Dorian approaches the Florida coast. #USACE currently has more than 220 personnel deployed and engaged."
35,https://twitter.com/NWSMoreheadCity/status/1169026752171171840?s=20,9/3/2019,7:17:00 PM,Projected rainfall totals associated with #Hurricane #Dorian. 6-10 inches possible across coastal #NC
30,https://twitter.com/Quicktake/status/1169027515358359553?s=20,9/3/2019,7:20:00 PM,"Hurricane Dorian could hurt cotton, peanuts and other crops and livestock in the Carolinas"
30,https://twitter.com/NBCNews/status/1169032324094279680?s=20,9/3/2019,7:40:00 PM,An international airport on the Bahamas' northernmost island was submerged underwater following heavy rain from Hurricane Dorian
30,https://twitter.com/united/status/1169033224057741312?s=20,9/3/2019,7:43:00 PM,"United Airlines Nassau (NAS), Miami (MIA) and Fort Lauderdale-Hollywood (FLL) airports have resumed operations but are still experiencing delays and cancellations."
34,https://twitter.com/SCEMD/status/1169036403117891586?s=20,9/3/2019,7:56:00 PM,ALERT: RESIDENTS IN EVACUATED ZONES MUST LEAVE NOW DUE TO THE INCREASING THREAT FROM HURRICAN
34,https://fb.watch/i-bmn8E8mT/,9/4/2019,2:11:00 PM,Our hospital has received over 100 hatchlings after Hurricane Dorian! If you find distressed or injured hatchlings please transport them in damp sand with no water to our 24-hour hatchling drop off cooler at the entrance
32,https://twitter.com/Seigonie/status/1169386949280448512?s=20,9/4/2019,7:09:00 PM,"Hurricane Dorian's death toll rises to 21 as it charges up the US Southeast coast; claiming the lives of at least 20 in the Bahamas, as well as an elderly man in North Carolina"
36,https://twitter.com/CBSEveningNews/status/1169389765315239936?s=20,9/4/2019,7:20:00 PM,"""Tonight, Dorian is lashing the coastline of Florida and Georgia -- top winds that have increased to 110 miles an hour; its center will approach South Carolina tonight, North Carolina tomorrow night, all with hurricane-force winds."""
34,https://twitter.com/ECUTigerSGA/status/1169392942664081408?s=20,9/4/2019,7:32:00 PM,"These boxes are to be sent to the Bahamas, where many ECU students are from. Please feel free to help out with blankets, toiletries, non perishable foods, and clothing"
36,https://twitter.com/glezak/status/1169392940629860353?s=20,9/4/2019,7:32:00 PM,Florida gets the all clear!  Southe Carolina and North Carolina are paying close attention.  Dorian may weaken a bit tomorrow.  We are tracking Hurricane Dorian
34,https://twitter.com/KitsapSun/status/1169393918775123968?s=20,9/4/2019,7:36:00 PM,"Emergency personnel from Kitsap County are headed to the Bahamas to assist with medicare care, rescues and communications in the wake of Hurricane Dorian"
36,https://twitter.com/ReedTimmerAccu/status/1169394377396875264?s=20,9/4/2019,7:38:00 PM,HURRICANE DORIAN has restrengthened a bit over the warm waters off southeastern GA with max sustained winds up to 110 mph! Forecast track has Dorian very close to the northeast coast of SC Thursday before passing near the NC Outerbanks overnight into Friday AM
28,https://twitter.com/RobStormTeam2/status/1169399526731452416?s=20,9/4/2019,7:59:00 PM,"8pm Wednesday Hurricane Dorian UPDATE. Winds remain 110 mph, and is moving NNW at 8mph.  The storm is now 130 miles south of Charleston"
28,https://twitter.com/ExtremeStorms/status/1169706591391641601,9/5/2019,4:19:00 PM,"""The weather for #Hopetown 9/2/2019 at 12:55pm is sunny skies with intermittent thin low cirrus, winds calm, pressure is 911.2mb #HurricaneDorian"""
34,https://twitter.com/CNN/status/1169754581976473606,9/5/2019,7:29:00 PM,"""US Coast Guard crews have rescued 201 people in the Bahamas since Hurricane Dorian began, according to a news release https://cnn.it/32uHnJd"""
